suggestion_id,PARSE-Ego4D ID,Query,Action,Description,n_raters,SENSIBLE_mean,SENSIBLE_std,CORRECT_mean,CORRECT_std,IMPLICIT_mean,IMPLICIT_std,VALUE_mean,VALUE_std,LIKELY_mean,LIKELY_std,split
3307,28bc1ee7-b0c1-4f30-934a-0ab665779d90-199-0-200,Find me a recipe that uses chopped potatoes,Instructions,Find a recipe that uses chopped potatoes,6,4.333333333333333,0.8164965809277259,3.6666666666666665,1.2110601416389966,3.6666666666666665,1.632993161855452,,,,,test
3308,28bc1ee7-b0c1-4f30-934a-0ab665779d90-102-1-200,Remember this,Memory,Remember what I'm cooking,1,4.0,,5.0,,2.0,,,,,,train
3309,28bc1ee7-b0c1-4f30-934a-0ab665779d90-102-1-200,What should I make with these ingredients?,Multimodal search,Show me a recipe for this dish,1,5.0,,5.0,,4.0,,,,,,train
3310,28c235e7-0a8a-4d87-92e3-1714513cb341-115-0-200,Show me similar boots,Multimodal search,Show me similar boots in different colors or styles,1,3.0,,3.0,,3.0,,,,,,train
3311,28c235e7-0a8a-4d87-92e3-1714513cb341-115-0-200,What outfit would go with these boots?,Multimodal search,Show me a complete outfit that would go with these boots,5,3.8,0.4472135954999579,3.6,1.3416407864998738,2.6,0.8944271909999159,,,,,test
3312,28c235e7-0a8a-4d87-92e3-1714513cb341-28-2-200,Show me other sweaters like this one,Multimodal search,Show me similar sweaters,1,3.0,,3.0,,4.0,,,,,,train
3313,28c235e7-0a8a-4d87-92e3-1714513cb341-28-2-200,Show me a virtual try-on of this sweater,Multimodal search,Show me how this sweater would look on me in different colors and styles,1,5.0,,5.0,,5.0,,,,,,train
3314,28d45dd9-9907-40ae-a6a1-5e590224d571-104-0-200,What is the torque spec for the nuts and bolts on this truck?,Multimodal search,Look up information or instructions,1,4.0,,4.0,,3.0,,,,,,train
3315,28d45dd9-9907-40ae-a6a1-5e590224d571-104-0-200,Would you like me to look up the torque specs for this truck?,Assistant,Proactively offer to help with the task,1,4.0,,3.0,,4.0,,,,,,train
3316,28d45dd9-9907-40ae-a6a1-5e590224d571-162-1-200,How do I remove the stabilizer bar?,Instructions,How to remove the stabilizer bar,1,3.0,,4.0,,5.0,,,,,,train
3317,28d45dd9-9907-40ae-a6a1-5e590224d571-162-1-200,What's the next step?,Memory,Remind me of the next step in the repair process,1,5.0,,5.0,,5.0,,,,,,train
3318,28d73c89-e96d-4296-876a-329f908aeac6-134-0-200,Show me how to sand wood,Instructions,Show me a video tutorial on how to sand wood,1,4.0,,4.0,,2.0,,,,,,train
3319,28d73c89-e96d-4296-876a-329f908aeac6-134-0-200,What are the different types of sandpaper?,Instructions,Show me a list of the different types of sandpaper and their uses,1,5.0,,5.0,,5.0,,,,,,train
3322,28dca1ee-7675-47a2-be89-3fa5979789e1-92-0-200,Remind me to sweep the floor every day,Assistant,Remind me to sweep the floor every day,1,5.0,,5.0,,1.0,,,,,,train
3323,28dca1ee-7675-47a2-be89-3fa5979789e1-92-0-200,Show me a video tutorial on how to sweep the floor more effectively,Instructions,Show me a video tutorial on how to sweep the floor more effectively,1,4.0,,5.0,,3.0,,,,,,train
3326,28fe3d66-382b-425a-8409-3cf17f5c8670-124-0-200,Show me my shopping list,Assistant,Open the shopping list,1,5.0,,5.0,,5.0,,,,,,train
3327,28fe3d66-382b-425a-8409-3cf17f5c8670-124-0-200,Create a new shopping list,Assistant,Create a new shopping list,6,2.3333333333333335,1.2110601416389968,3.0,1.5491933384829668,2.5,1.6431676725154984,,,,,test
3328,28ff9118-e876-497c-9901-cb89a62509fc-106-0-200,Open my resume,Assistant,Open a file or program,2,5.0,0.0,3.5,2.1213203435596424,2.5,2.1213203435596424,,,,,val
3329,28ff9118-e876-497c-9901-cb89a62509fc-106-0-200,Do I have any meetings today?,Assistant,Check for upcoming meetings or appointments,5,4.8,0.44721359549995787,3.6,1.6733200530681511,3.4,1.51657508881031,,,,,test
3330,29083ffa-92a8-4318-aee5-4b9dcae4d433-100-0-200,Is the knife sharp enough?,Assistant,Check if the knife is sharp enough,5,3.2,2.04939015319192,2.6,1.816590212458495,2.8,1.6431676725154984,,,,,test
3331,29083ffa-92a8-4318-aee5-4b9dcae4d433-100-0-200,How do I sharpen a knife properly?,Instructions,Provide instructions on how to sharpen a knife,1,5.0,,5.0,,4.0,,,,,,train
3332,290f7408-3c15-4f08-a49b-f317fc758524-2-0-200,Show me how to paint,Instructions,Show instructions on how to paint,1,2.0,,2.0,,2.0,,,,,,train
3333,290f7408-3c15-4f08-a49b-f317fc758524-2-0-200,Show me nearby art supply stores,Maps,Show a list of nearby art supply stores,1,1.0,,5.0,,1.0,,,,,,train
3334,2911c0de-45ad-488a-a8e7-a445d37568ad-107-0-200,Help me measure the cloth,Instructions,Help me measure the cloth,1,4.0,,5.0,,4.0,,,,,,train
3335,2911c0de-45ad-488a-a8e7-a445d37568ad-107-0-200,Help me find a pattern for the cloth,Instructions,Help me find a pattern for the cloth,1,4.0,,2.0,,4.0,,,,,,train
3336,2911fa95-30ca-4524-8876-85a90f1fd221-149-0-200,How do I use the bucket to scoop up stones and dirt more efficiently?,Instructions,Show me how to use the bucket to scoop up stones and dirt more efficiently,1,1.0,,5.0,,1.0,,,,,,train
3337,2911fa95-30ca-4524-8876-85a90f1fd221-149-0-200,Show me how to use the bucket to scoop up stones and dirt more efficiently,Instructions,Show me how to use the bucket to scoop up stones and dirt more efficiently,1,5.0,,5.0,,5.0,,,,,,train
3338,29133378-bdeb-4f5c-b452-fa34b08f7b47-70-0-200,What is this paper?,Multimodal search,Identify the butterfly shaped paper,1,4.0,,4.0,,4.0,,,,,,train
3339,29133378-bdeb-4f5c-b452-fa34b08f7b47-70-0-200,Show me some craft project ideas for this paper,Instructions,Find instructions for a craft project using the butterfly shaped paper,1,4.0,,3.0,,2.0,,,,,,train
3340,2918802a-08f7-499b-8a52-03d23fcda5b6-51-0-200,What is this craft?,Multimodal search,Identify the craft,6,4.0,1.5491933384829668,4.666666666666667,0.8164965809277261,3.5,1.6431676725154984,,,,,test
3341,2918802a-08f7-499b-8a52-03d23fcda5b6-59-0-200,Read this manual to me,Assistant,Read the manual aloud,1,4.0,,4.0,,3.0,,,,,,train
3342,291e4d57-380b-4f8f-81e0-a67a3c3528a4-104-0-200,What's in the fridge?,Assistant,Show what's in the fridge,5,2.0,1.4142135623730951,1.6,1.3416407864998738,1.2,0.4472135954999579,,,,,test
3343,291e4d57-380b-4f8f-81e0-a67a3c3528a4-104-0-200,Create a shopping list for me,Assistant,Create a shopping list based on what's in the fridge and what I need,5,4.0,1.0,3.6,0.8944271909999159,3.4,0.8944271909999159,,,,,test
3344,2927605b-bdb2-4b36-8181-12f9e898bf2d-103-0-200,What is this flower?,Multimodal search,Tell me more about this flower,5,4.6,0.894427190999916,5.0,0.0,3.4,1.51657508881031,,,,,test
3345,2927605b-bdb2-4b36-8181-12f9e898bf2d-103-0-200,Save a photo of this flower and tell me more about it,Assistant,Save a photo of this flower and tell me more about it,1,2.0,,1.0,,1.0,,,,,,train
3346,2927605b-bdb2-4b36-8181-12f9e898bf2d-129-1-200,Show me a tutorial on how to draw a flower,Instructions,Show me how to draw a flower,2,5.0,0.0,4.0,0.0,3.5,2.1213203435596424,,,,,val
3347,2927605b-bdb2-4b36-8181-12f9e898bf2d-129-1-200,Show me a picture of a flower,Multimodal search,Show me a picture of a flower,1,4.0,,4.0,,3.0,,,,,,train
3348,2927605b-bdb2-4b36-8181-12f9e898bf2d-114-3-200,Take a picture of this,Assistant,Take a picture of my drawing,1,5.0,,5.0,,4.0,,,,,,train
3349,2927605b-bdb2-4b36-8181-12f9e898bf2d-114-3-200,Save this drawing,Memory,Save my drawing,1,1.0,,5.0,,1.0,,,,,,train
3350,292af6ad-aeac-453b-bc59-cdafa981dbfd-142-0-200,What's in this container?,Multimodal search,What is in this container?,1,4.0,,4.0,,2.0,,,,,,train
3351,292af6ad-aeac-453b-bc59-cdafa981dbfd-142-0-200,Take a picture of the items in this container,Assistant,Take a picture of the items in this container,1,5.0,,5.0,,2.0,,,,,,train
3352,2941ef6f-edb8-471b-901a-5c28a401aaaa-100-1-200,Show me how to play 'Fur Elise',Instructions,Show me how to play 'Fur Elise',5,4.6,0.8944271909999157,4.2,1.3038404810405297,3.4,1.3416407864998738,,,,,test
3353,2941ef6f-edb8-471b-901a-5c28a401aaaa-100-1-200,Recommend some songs for me to play,Instructions,Recommend some songs for me to play,1,3.0,,4.0,,4.0,,,,,,train
3354,294723d4-49b6-4ad4-9915-26933b3e7175-116-1-200,What's the next step?,Assistant,Show me the next step in the instructions,1,5.0,,1.0,,5.0,,,,,,train
3355,294723d4-49b6-4ad4-9915-26933b3e7175-116-1-200,Show me what the finished product will look like,Instructions,Show me a 3D model of the final product,5,3.2,1.6431676725154984,2.0,1.4142135623730951,2.6,1.6733200530681511,,,,,test
3356,294c8827-a667-49a5-9e7e-9c910001ce54-19-2-200,Help me find a book or author,Assistant,Find a book or author,1,3.0,,3.0,,3.0,,,,,,train
3357,294c8827-a667-49a5-9e7e-9c910001ce54-19-2-200,Suggest a history book that I might like,Assistant,Find a specific book or author based on the user's interests,1,4.0,,1.0,,5.0,,,,,,train
3358,295701f1-622f-46f0-b720-272517fdf4c2-46-0-200,Where is the nearest garden center?,Maps,Find the nearest garden center,1,4.0,,5.0,,1.0,,,,,,train
3359,295701f1-622f-46f0-b720-272517fdf4c2-46-0-200,Where is the nearest garden center? Show me some gardening tips.,Instructions,Find the nearest garden center and show me some gardening tips,1,5.0,,1.0,,3.0,,,,,,train
3360,29586f72-7e63-45aa-b4f1-38a6e615e46d-32-0-200,Remember this,Memory,Remember what I have done so far,1,2.0,,2.0,,2.0,,,,,,train
3361,29586f72-7e63-45aa-b4f1-38a6e615e46d-32-0-200,How do I fix this motorbike?,Instructions,Show me a step-by-step guide on how to fix the motorbike,1,4.0,,5.0,,3.0,,,,,,train
3362,295edd4a-513a-43aa-932f-1923c6d07028-140-0-200,How do I use a file?,Instructions,How to use a file,1,5.0,,5.0,,1.0,,,,,,train
3363,295edd4a-513a-43aa-932f-1923c6d07028-35-2-200,How do I use this mini drill?,Instructions,Show me instructions on how to use the mini drill,5,4.8,0.44721359549995787,4.8,0.44721359549995804,2.6,1.816590212458495,,,,,test
3364,295edd4a-513a-43aa-932f-1923c6d07028-35-2-200,"What parts do I need for this project, and where can I find them?",Assistant,"Show me a list of the parts that are needed for the project, and where to find them",1,4.0,,1.0,,2.0,,,,,,train
3365,296095cb-629f-4875-b178-7a15edd5b4b0-65-0-200,What is this?,Multimodal search,What is this?,1,1.0,,5.0,,4.0,,,,,,train
3366,296095cb-629f-4875-b178-7a15edd5b4b0-65-0-200,Find recipes that use ketchup,Assistant,Find recipes that use ketchup,2,3.5,0.7071067811865476,3.5,0.7071067811865476,2.5,0.7071067811865476,,,,,val
3370,29660a30-b2f3-491c-b043-0c85f7313966-199-0-200,Undo,Assistant,Undo the last drawing action,1,5.0,,5.0,,5.0,,,,,,train
3371,29660a30-b2f3-491c-b043-0c85f7313966-199-0-200,Suggest a different way to draw this,Instructions,Recommend a different way to draw the same thing,1,5.0,,5.0,,5.0,,,,,,train
3372,2967f13e-d2af-4154-b593-d38d61e223d7-106-0-200,Take a picture of the board,Assistant,Take a picture of the board,1,4.0,,5.0,,2.0,,,,,,train
3373,2967f13e-d2af-4154-b593-d38d61e223d7-106-0-200,Suggest some new colors or techniques to try,Instructions,Suggest some new colors or techniques to try,1,5.0,,3.0,,2.0,,,,,,train
3374,2967f13e-d2af-4154-b593-d38d61e223d7-148-1-200,What color is this paint tube?,Multimodal search,Identify the color of the paint tube,1,4.0,,5.0,,1.0,,,,,,train
3375,2967f13e-d2af-4154-b593-d38d61e223d7-148-1-200,Show me a tutorial on how to paint a landscape,Instructions,Show a tutorial on how to paint a specific object,5,4.6,0.894427190999916,4.4,1.3416407864998738,2.0,1.224744871391589,,,,,test
3376,2967f13e-d2af-4154-b593-d38d61e223d7-114-2-200,Take a picture of this,Assistant,Take a picture of the painting,1,5.0,,1.0,,2.0,,,,,,train
3377,2967f13e-d2af-4154-b593-d38d61e223d7-114-2-200,Suggest some colors for me,Assistant,Suggest some different colors to use,1,5.0,,1.0,,1.0,,,,,,train
3378,296c1587-2eb0-4ccd-ac0a-2cdc814afd10-199-0-200,Tell me more about this book,Multimodal search,Find out more about this book,1,5.0,,5.0,,4.0,,,,,,train
3379,296c1587-2eb0-4ccd-ac0a-2cdc814afd10-199-0-200,Add this book to my reading list and suggest a similar book,Memory,Add this book to my reading list and suggest a similar book,5,4.6,0.8944271909999159,3.8,1.0954451150103324,3.6,0.8944271909999159,,,,,test
3380,296c1587-2eb0-4ccd-ac0a-2cdc814afd10-128-1-200,Summarize this book for me,Language,Summarize the book,1,1.0,,1.0,,1.0,,,,,,train
3381,296c1587-2eb0-4ccd-ac0a-2cdc814afd10-128-1-200,Translate this passage to Spanish,Language,Translate a passage,1,1.0,,1.0,,1.0,,,,,,train
3386,2978ddbc-cdc9-4bfa-9a7c-4bf056904010-199-0-200,"What can I make with broccoli, carrots, and steak?",Instructions,Find a recipe that uses the vegetables and meat I have prepared,1,4.0,,5.0,,1.0,,,,,,train
3387,2978ddbc-cdc9-4bfa-9a7c-4bf056904010-199-0-200,"What can I make with broccoli, carrots, and steak? Also, how can I organize my kitchen more efficiently?",Instructions,"Find a recipe that uses the vegetables and meat I have prepared, and also help me organize my kitchen more efficiently",2,3.0,1.4142135623730951,4.0,0.0,2.5,0.7071067811865476,,,,,val
3388,29790a18-69cb-4952-8fbf-644a91c4b747-182-0-200,Clean up the sawdust and debris,Instructions,Clean up the sawdust and debris,1,1.0,,1.0,,1.0,,,,,,train
3389,29790a18-69cb-4952-8fbf-644a91c4b747-182-0-200,"Clean up the sawdust and debris, and then apply a sealant to the floor",Instructions,"Clean up the sawdust and debris, and then apply a sealant to the floor",1,1.0,,1.0,,1.0,,,,,,train
3390,2987458f-3c82-43d9-b577-219a0b175fd9-198-0-200,Can you help me cut out these pieces of paper?,Instructions,Help me cut out these pieces of paper,1,2.0,,5.0,,2.0,,,,,,train
3391,2991a3c3-ce12-4fdf-806c-a4c5608c4624-192-0-200,How long should I cook the vegetables for?,Assistant,How long should I cook the vegetables for?,1,4.0,,1.0,,1.0,,,,,,train
3392,2991a3c3-ce12-4fdf-806c-a4c5608c4624-127-1-200,Find a recipe that includes bell pepper,Multimodal search,Find a recipe that includes bell pepper,5,3.8,1.3038404810405297,1.8,1.3038404810405297,2.4,0.8944271909999159,,,,,test
3393,2991a3c3-ce12-4fdf-806c-a4c5608c4624-127-1-200,What kind of bell pepper is this?,Multimodal search,Identify the bell pepper,1,4.0,,5.0,,4.0,,,,,,train
3394,2991b1be-bdae-4fa4-a529-ac46cefb4487-10-0-200,Show me a tutorial on how to paint a wood,Instructions,Show me how to paint a wood,1,4.0,,1.0,,3.0,,,,,,train
3395,2991b1be-bdae-4fa4-a529-ac46cefb4487-10-0-200,Suggest some colors that would look good on this wood,Multimodal search,Suggest colors for the wood,1,3.0,,3.0,,1.0,,,,,,train
3398,2992424f-0875-469e-9246-65245fee2920-199-1-200,What card should I play?,Assistant,Suggest a card to play,1,4.0,,2.0,,3.0,,,,,,train
3399,2992424f-0875-469e-9246-65245fee2920-199-1-200,What card should I play and why?,Assistant,Suggest a card to play and explain why,1,5.0,,5.0,,4.0,,,,,,train
3400,2992424f-0875-469e-9246-65245fee2920-108-2-200,What are the rules of this game?,Assistant,Show the rules of the game,6,4.666666666666667,0.816496580927726,3.1666666666666665,2.041241452319315,3.5,1.378404875209022,,,,,test
3401,29928d46-5209-4d00-9fbf-b5c056845ded-41-0-200,How do I clean a bike?,Instructions,How to clean a bike,1,5.0,,5.0,,2.0,,,,,,train
3402,29928d46-5209-4d00-9fbf-b5c056845ded-41-0-200,What is a good bike cleaning product?,Multimodal search,Recommend a bike cleaning product,1,3.0,,3.0,,4.0,,,,,,train
3403,299efadd-0873-4236-8344-e37c9f8aa916-115-1-200,Remember this page,Memory,Remember the page I'm on,5,4.6,0.8944271909999157,5.0,0.0,4.2,1.0954451150103324,,,,,test
3404,299efadd-0873-4236-8344-e37c9f8aa916-115-1-200,Summarize the novel,Language,Summarize the novel so far,5,3.8,1.3038404810405297,2.6,1.816590212458495,1.4,0.5477225575051661,,,,,test
3407,29c1b272-b242-410a-a6a8-6195c82a4ae5-25-0-200,What kind of tomato plant is this?,Multimodal search,Identify the tomato plant,1,1.0,,1.0,,1.0,,,,,,train
3408,29c1b272-b242-410a-a6a8-6195c82a4ae5-25-0-200,Remind me to water the tomato plant in 2 days,Assistant,Remind me to water the tomato plant,5,3.8,1.3038404810405297,3.6,1.140175425099138,3.8,1.0954451150103321,,,,,test
3409,29e00040-6e0f-4f0e-816d-1ac97c1e5485-142-0-200,How long should I cook these noodles for?,Assistant,How long should I cook these noodles for?,5,4.6,0.894427190999916,3.8,1.3038404810405297,4.6,0.5477225575051662,,,,,test
3410,29e00040-6e0f-4f0e-816d-1ac97c1e5485-142-0-200,How long should I cook these noodles for? What else can I cook?,Assistant,How long should I cook these noodles for? What else can I cook?,5,4.6,0.894427190999916,3.0,1.5811388300841898,3.6,1.6733200530681511,,,,,test
3411,29e45749-f8d5-42c7-af09-7fbb3d6697e9-127-2-200,How do I fold a shirt?,Instructions,How to fold a shirt,6,4.0,1.6733200530681511,4.166666666666667,1.6020819787597222,1.8333333333333333,0.983192080250175,,,,,test
3412,29e45749-f8d5-42c7-af09-7fbb3d6697e9-127-2-200,Remember how to fold this shirt,Memory,Remember how to fold a shirt,1,1.0,,5.0,,1.0,,,,,,train
3413,29e76c5a-af89-49b5-8f6c-d83ea70c9951-122-0-200,Show me a recipe for this meal,Multimodal search,Show me a recipe for this meal,1,3.0,,4.0,,3.0,,,,,,train
3414,29e76c5a-af89-49b5-8f6c-d83ea70c9951-122-0-200,Set a timer for 20 minutes,Assistant,Set a timer for this meal,1,5.0,,3.0,,1.0,,,,,,train
3415,29ed0e34-0c0e-4c87-9175-59ee92aa48d9-31-0-200,Show me a tutorial on how to knit,Instructions,Show me a tutorial on how to knit,1,5.0,,4.0,,5.0,,,,,,train
3416,29ed0e34-0c0e-4c87-9175-59ee92aa48d9-31-0-200,Would you like help with your knitting or sewing project?,Assistant,Offer to help with the knitting or sewing project,1,5.0,,5.0,,4.0,,,,,,train
3417,29ed368e-c5ec-48da-a9a2-40020ec8cb7b-87-0-200,How do I use this tire inflator?,Instructions,Show me how to use this tire inflator,6,4.166666666666667,0.408248290463863,4.0,0.8944271909999159,3.5,1.0488088481701516,,,,,test
3418,29ed368e-c5ec-48da-a9a2-40020ec8cb7b-87-0-200,How do I use this tire inflator? Give me step-by-step instructions.,Instructions,"Show me how to use this tire inflator, and give me step-by-step instructions",5,4.6,0.5477225575051663,4.6,0.5477225575051663,3.2,1.7888543819998317,,,,,test
3423,2a00e878-bd87-4d39-91c4-f27fcb7b5feb-37-0-200,How long will it take to finish sanding this railing?,Instructions,How long will it take to finish sanding this railing?,1,3.0,,3.0,,3.0,,,,,,train
3424,2a2b524a-0a2f-402c-a32b-0d4e39f6eb66-154-0-200,How do I attach this to the rest of the truck?,Instructions,How do I attach the axle to the rest of the truck?,5,4.4,0.8944271909999159,4.4,0.5477225575051662,3.8,1.7888543819998317,,,,,test
3425,2a2b524a-0a2f-402c-a32b-0d4e39f6eb66-70-1-200,Show me a video tutorial on how to build this truck,Assistant,Show me a video tutorial on how to build this truck,1,5.0,,2.0,,1.0,,,,,,train
3426,2a2b524a-0a2f-402c-a32b-0d4e39f6eb66-70-1-200,Identify the pieces of the truck and show me how they fit together,Instructions,Identify the pieces of the truck and show me how they fit together,1,2.0,,4.0,,2.0,,,,,,train
3427,2a2fe5ed-20b4-4081-9ced-23f44340df16-135-0-200,How do I make coffee with this coffee machine?,Instructions,Show me how to make coffee with this coffee machine,1,4.0,,4.0,,3.0,,,,,,train
3428,2a2fe5ed-20b4-4081-9ced-23f44340df16-135-0-200,What's a good coffee recipe for me?,Instructions,Show me a recipe for coffee that I might like,2,4.5,0.7071067811865476,5.0,0.0,3.0,0.0,,,,,val
3429,2a2ff7db-5460-4296-a8a7-946ba628226d-126-0-200,How long should I bake this dough for?,Multimodal search,How long should I bake this dough for?,1,5.0,,2.0,,5.0,,,,,,train
3430,2a2ff7db-5460-4296-a8a7-946ba628226d-126-0-200,Suggest a recipe for this dough,Memory,Suggest a recipe for this dough,1,5.0,,2.0,,5.0,,,,,,train
3431,2a2ff7db-5460-4296-a8a7-946ba628226d-142-1-200,How do I make this dough into a loaf?,Instructions,How to make the dough into a specific shape,1,5.0,,5.0,,5.0,,,,,,train
3432,2a2ff7db-5460-4296-a8a7-946ba628226d-100-2-200,What should I do next?,Assistant,What should I do with this mold of clay?,1,5.0,,5.0,,5.0,,,,,,train
3433,2a2ff7db-5460-4296-a8a7-946ba628226d-100-2-200,What are my options for what to do next?,Instructions,What should I do with this mold of clay?,5,3.0,1.5811388300841898,3.8,1.3038404810405297,3.2,1.4832396974191326,,,,,test
3436,2a3d3e96-6139-4d9d-a4c8-2ecb0aef72ea-111-0-200,Show me other shirts like this one,Assistant,Show me other shirts that are similar to this one,1,4.0,,4.0,,4.0,,,,,,train
3437,2a3d3e96-6139-4d9d-a4c8-2ecb0aef72ea-111-0-200,Show me other shirts like this one that would go with these pants,Assistant,Show me other shirts that are similar to this one and would go well with the pants I'm wearing,1,5.0,,1.0,,3.0,,,,,,train
3438,2a42afa8-3e66-466f-ba61-2fe5cf31efa8-102-0-200,Find a book about the history of the United States,Multimodal search,Search for a book,1,1.0,,1.0,,2.0,,,,,,train
3439,2a42afa8-3e66-466f-ba61-2fe5cf31efa8-102-0-200,Suggest a book about the American Revolution,Multimodal search,Recommend a book,1,5.0,,4.0,,1.0,,,,,,train
3440,2a42afa8-3e66-466f-ba61-2fe5cf31efa8-10-1-200,"Search for the book ""The Catcher in the Rye""",Multimodal search,Search for a book,1,4.0,,5.0,,1.0,,,,,,train
3441,2a42afa8-3e66-466f-ba61-2fe5cf31efa8-10-1-200,Recommend a book for me,Assistant,Recommend a book,5,3.8,1.7888543819998317,1.4,0.5477225575051662,2.2,1.0954451150103321,,,,,test
3442,2a42afa8-3e66-466f-ba61-2fe5cf31efa8-183-2-200,Show me some images or references that I can use for my drawing,Multimodal search,Suggest images or references for drawing,1,5.0,,5.0,,5.0,,,,,,train
3443,2a42afa8-3e66-466f-ba61-2fe5cf31efa8-183-2-200,"Show me some images or references that I can use for my drawing, and let me easily add them to my drawing",Multimodal search,"Suggest images or references for drawing, and provide a way to easily incorporate them",5,3.8,1.6431676725154984,4.0,1.4142135623730951,3.6,1.6733200530681511,,,,,test
3444,2a42afa8-3e66-466f-ba61-2fe5cf31efa8-196-3-200,Show me my shopping list,Assistant,Open the shopping list,2,4.0,1.4142135623730951,5.0,0.0,2.5,0.7071067811865476,,,,,train
3445,2a42afa8-3e66-466f-ba61-2fe5cf31efa8-196-3-200,What is this bottle?,Multimodal search,Get information about the bottle,2,2.5,2.1213203435596424,2.5,2.1213203435596424,2.5,2.1213203435596424,,,,,val
3446,2a453122-bed5-470b-bf35-f33190c3908d-33-0-200,What are the ingredients in these biscuits?,Multimodal search,Tell me more about these biscuits,1,5.0,,5.0,,4.0,,,,,,train
3447,2a453122-bed5-470b-bf35-f33190c3908d-33-0-200,Add these biscuits to my shopping list,Assistant,Add these biscuits to my shopping list,1,4.0,,5.0,,1.0,,,,,,train
3448,2a6b3d10-8da9-4f0e-a681-59ba48a55dbf-190-0-200,How do I grate a coconut?,Instructions,How to grate a coconut,1,2.0,,4.0,,2.0,,,,,,train
3449,2a6b3d10-8da9-4f0e-a681-59ba48a55dbf-190-0-200,"How do I grate a coconut, and what can I make with it?",Instructions,"How to grate a coconut, and what recipes can I make with grated coconut?",1,5.0,,5.0,,4.0,,,,,,train
3450,2a6b3d10-8da9-4f0e-a681-59ba48a55dbf-194-1-200,Show me a recipe for the dish I'm cooking,Multimodal search,Show me a recipe for the dish I'm cooking,1,3.0,,4.0,,3.0,,,,,,train
3451,2a6b3d10-8da9-4f0e-a681-59ba48a55dbf-194-1-200,Set a timer for 15 minutes,Assistant,Set a timer for the dish I'm cooking,1,5.0,,5.0,,2.0,,,,,,train
3452,2a6b3d10-8da9-4f0e-a681-59ba48a55dbf-180-2-200,How long should I cook this for?,Assistant,How long should I cook this for?,6,4.5,0.8366600265340756,3.1666666666666665,1.8348478592697182,3.6666666666666665,0.816496580927726,,,,,test
3453,2a6b3d10-8da9-4f0e-a681-59ba48a55dbf-180-2-200,What should I do next?,Instructions,What should I do next?,1,2.0,,4.0,,2.0,,,,,,train
3456,2a831288-6e91-4aba-9385-f22f666fab99-199-0-200,How do I iron the sleeves of a shirt?,Instructions,How to iron the sleeves of a shirt,1,5.0,,5.0,,2.0,,,,,,train
3457,2a831288-6e91-4aba-9385-f22f666fab99-199-0-200,How do I iron the collar of a shirt?,Instructions,How to iron the collar of a shirt,1,5.0,,5.0,,3.0,,,,,,train
3458,2a831288-6e91-4aba-9385-f22f666fab99-138-1-200,What temperature should I use to iron this cloth?,Multimodal search,Help me iron this cloth,1,4.0,,4.0,,4.0,,,,,,train
3459,2a831288-6e91-4aba-9385-f22f666fab99-138-1-200,Would you like help with ironing this cloth?,Assistant,Offer to help with ironing,1,1.0,,1.0,,1.0,,,,,,train
3460,2a831288-6e91-4aba-9385-f22f666fab99-199-2-200,How do I iron a dress?,Instructions,How to iron a dress,2,4.0,1.4142135623730951,3.5,0.7071067811865476,4.0,1.4142135623730951,,,,,train
3461,2a831288-6e91-4aba-9385-f22f666fab99-199-2-200,Would you like to take a break from ironing?,Assistant,Take a break from ironing,1,1.0,,1.0,,1.0,,,,,,train
3462,2a854c4f-0d6f-4a88-9623-48e055fdd938-170-0-200,Remind me to buy more dish soap,Memory,Remind me to buy more dish soap,2,5.0,0.0,5.0,0.0,4.5,0.7071067811865476,,,,,val
3463,2a854c4f-0d6f-4a88-9623-48e055fdd938-170-0-200,What can I cook with the ingredients I have on hand?,Instructions,Show me a recipe for a dish that uses the ingredients I have on hand,1,1.0,,1.0,,1.0,,,,,,train
3466,2a97736a-4fff-4753-84de-e6586a5603cc-33-0-200,Open the fitness app,Assistant,Open the fitness app,1,5.0,,5.0,,5.0,,,,,,train
3467,2a97736a-4fff-4753-84de-e6586a5603cc-100-0-200,Open the maps app,Assistant,Open the maps app,5,4.6,0.5477225575051662,4.4,0.8944271909999159,4.6,0.5477225575051662,,,,,test
3468,2a97e133-1f60-41f0-ad3a-97950dae1511-35-0-200,Take a photo of this cloth,Memory,Take a photo of the cloth,1,4.0,,3.0,,4.0,,,,,,train
3469,2a97e133-1f60-41f0-ad3a-97950dae1511-35-0-200,Show me how to sew this cloth,Instructions,Show me a tutorial on how to sew this cloth,5,3.2,2.04939015319192,4.4,0.5477225575051663,3.2,2.04939015319192,,,,,test
3470,2aae6404-a2ad-44ed-918e-cba71e7b3cae-126-0-200,What can I do with this?,#N/A,What can I do with this art sheet?,1,4.0,,1.0,,5.0,,,,,,train
3471,2aae6404-a2ad-44ed-918e-cba71e7b3cae-67-1-200,Show me the instructions for this model,Instructions,Show me the instructions for this model,2,5.0,0.0,3.0,2.8284271247461903,3.0,2.8284271247461903,,,,,train
3472,2aae6404-a2ad-44ed-918e-cba71e7b3cae-67-1-200,Show me a video tutorial for this model,Instructions,Show me a video tutorial for this model,1,5.0,,5.0,,3.0,,,,,,train
3473,2aafd5be-8c18-4aa1-8a15-7269cc1a909d-101-1-200,What is this vase?,Multimodal search,Identify the vase,1,1.0,,5.0,,2.0,,,,,,train
